メーンディッシュ	main|dish	M_EY1_N|D_IH1_SH
バッファーゾーン	buffer|zone	B_AH1_F_ER0|Z_OW1_N
ネオンサイン	neon|sign	N_IY1_AA0_N|S_AY1_N
ハッスル	hustle	HH_AH1_S_AH0_L
フットマン	footman	F_UH1_T_M_AH0_N
ネクタール	nectar	N_EH1_K_T_ER0
シフォンケーキ	chiffon|cake	SH_IH0_F_AA1_N|K_EY1_K
バーティカル	vertical	V_ER1_T_IH0_K_AH0_L
ナラティヴ	narrative	N_AE1_R_AH0_T_IH0_V
ローヤルストレートフラッシュ	royal|straight|flush	R_OY1_AH0_L|S_T_R_EY1_T|F_L_AH1_SH
リント	lint	L_IH1_N_T
ベンゼン	benzene	B_EH0_N_Z_IY1_N
テーラードスーツ	tailored|suit	T_EY1_L_ER0_D|S_UW1_T
リスニングルーム	listening|room	L_IH1_S_AH0_N_IH0_NG|R_UW1_M
サーチャージ	surcharge	S_ER0_CH_AA1_R_JH
ヌード	nude	N_UW1_D
ハーレムパンツ	harem|pants	HH_EH1_R_AH0_M|P_AE1_N_T_S
アークティックグレイリング	arctic|grayling	AA1_R_K_T_IH0_K|G_R_EY1_L_IH0_NG
レーザーポインター	laser|pointer	L_EY1_Z_ER0|P_OY1_N_T_ER0
ベータアミロイド	beta|amyloid	B_EY1_T_AH0|AE1_M_IH0_L_OY2_D
ローラーベアリング	roller|bearing	R_OW1_L_ER0|B_EH1_R_IH0_NG
ザーメン	semen	S_IY1_M_AH0_N
ソシアル	social	S_OW1_SH_AH0_L
フロッピー	floppy	F_L_AA1_P_IY0
エリヤ	area	EH1_R_IY0_AH0
シャーマン	shaman	SH_EY1_M_AH0_N
レイズ	raising	R_EY1_Z_IH0_NG
コンピュータシステム	computer|system	K_AH0_M_P_Y_UW1_T_ER0|S_IH1_S_T_AH0_M
ポイントサイズ	point|size	P_OY1_N_T|S_AY1_Z
バイトコンパイル	byte|compile	B_AY1_T|K_AH0_M_P_AY1_L
スパーク	spark	S_P_AA1_R_K
パフトライス	puffed|rice	P_AH1_F_T|R_AY1_S
ハンドサイン	hand|sign	HH_AE1_N_D|S_AY1_N
ビジネスプロセス	business|process	B_IH1_Z_N_AH0_S|P_R_AA1_S_EH2_S
チョコレートブラウニー	chocolate|brownie	CH_AO1_K_L_AH0_T|B_R_AW1_N_IY0
ユーザーフレンドリ	user|friendly	Y_UW1_Z_ER0|F_R_EH1_N_D_L_IY0
アビシニアジャッカル	abyssinia|jackal	AE0_B_S_IH1_N_IY2_AH0|JH_AE1_K_AH0_L
メルトダウン	meltdown	M_EH1_L_T_D_AW2_N
ネットワークサービスプロバイダ	network|service|provider	N_EH1_T_W_ER2_K|S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
トークンリング	token|ring	T_OW1_K_AH0_N|R_IH1_NG
ダッカ	dhaka	D_AA1_K_AH0
メープルシュガー	maple|sugar	M_EY1_P_AH0_L|SH_UH1_G_ER0
クロコダイル	crocodile	K_R_AA1_K_AH0_D_AY2_L
ミッドティア	mid|tier	M_IH1_D|T_IY1_R
ウィンナソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ミュージカルボックス	musical|box	M_Y_UW1_Z_IH0_K_AH0_L|B_AA1_K_S
スクレ	sucre	S_UW1_K_ER0
ディレクター	director	D_ER0_EH1_K_T_ER0
ウイルスチェックソフトウェア	virus|checker|software	V_AY1_R_AH0_S|CH_EH1_K_ER0|S_AO1_F_T_W_EH2_R
ライマビーン	lima|bean	L_AY1_M_AH0|B_IY1_N
ジェムストーン	gemstone	JH_EH1_M_S_T_OW2_N
ゲスト	guest	G_EH1_S_T
ミスコピー	mis|copy	M_IH1_S|K_AA1_P_IY0
ブロガー	blogger	B_L_AO1_G_ER0
ディコンストラクション	deconstruction	D_IY0_K_AH0_N_S_T_R_AH1_K_SH_AH0_N
フェミニズム	feminism	F_EH1_M_IH0_N_IH2_Z_AH0_M
ステーショナリー	stationery	S_T_EY1_SH_AH0_N_EH2_R_IY0
オッグ	ogg	AA1_G
アカデミックガウン	academic|gown	AE2_K_AH0_D_EH1_M_IH0_K|G_AW1_N
サイン	sine	S_AY1_N
バックボーン	backbone	B_AE1_K_B_OW2_N
パニッシュメント	punishment	P_AH1_N_IH0_SH_M_AH0_N_T
ラジアル	radial	R_EY1_D_IY0_AH0_L
ゴア	gore	G_AO1_R
ラボラトリー	laboratory	L_AE1_B_R_AH0_T_AO2_R_IY0
テークアウト	take|out	T_EY1_K|AW1_T
ショートプログラム	short|program	SH_AO1_R_T|P_R_OW1_G_R_AE2_M
シーシック	seasick	S_IY1_S_IH2_K
ブックケース	bookcase	B_UH1_K_K_EY2_S
リフォーム	reform	R_AH0_F_AO1_R_M
フォーキャスト	forecast	F_AO1_R_K_AE2_S_T
コミュニティーセンター	community|center	K_AH0_M_Y_UW1_N_AH0_T_IY0|S_EH1_N_T_ER0
ユーゴースラヴィア	yugoslavia	Y_UW2_G_OW0_S_L_AA1_V_IY0_AH0
エージドビーフ	aged|beef	EY1_JH_D|B_IY1_F
スコアボード	scoreboard	S_K_AO1_R_B_AO2_R_D
プレジャー	pleasure	P_L_EH1_ZH_ER0
パーマネントバーチャルサーキット	permanent|virtual|circuit	P_ER1_M_AA0_N_EH2_N_T|V_ER1_CH_UW0_AH0_L|S_ER1_K_AH0_T
メッセージエリア	message|area	M_EH1_S_AH0_JH|EH1_R_IY0_AH0
カレーソース	curry|sauce	K_AH1_R_IY0|S_AO1_S
ベオグラード	belgrade	B_EH1_L_G_R_EY0_D
ティシュ	tissue	T_IH1_S_Y_UW2
コンテスト	contest	K_AA1_N_T_EH0_S_T
クオリティ	quality	K_W_AA1_L_AH0_T_IY0
ミシシッピ	mississippi	M_IH2_S_IH0_S_IH1_P_IY0
カッティング	cutting	K_AH1_T_IH0_NG
ダメージ	damage	D_AE1_M_AH0_JH
フリーゲーム	free|game	F_R_IY1|G_EY1_M
ランプ	ramp	R_AE1_M_P
アクセスカウンタ	access|counter	AE1_K_S_EH2_S|K_AW1_N_T_ER0
フルカウント	full|count	F_UH1_L|K_AW1_N_T
ファイナル	final	F_AY1_N_AH0_L
エネルギ	energy	EH1_N_ER0_JH_IY0
クォリファイア	qualifier	K_W_AA1_L_AH0_F_AY2_ER0
モールドカップブラ	mold|cup|bra	M_OW1_L_D|K_AH1_P|B_R_AA1
ネクター	nectar	N_EH1_K_T_ER0
ワーオ	wow	W_AW1
スポーツサイエンス	sports|science	S_P_AO1_R_T_S|S_AY1_AH0_N_S
バーレル	barrel	B_AE1_R_AH0_L
メッセンジャーボーイ	messenger|boy	M_EH1_S_AH0_N_JH_ER0|B_OY1
ライバル	rival	R_AY1_V_AH0_L
アーバンエクソダス	urban|exodus	ER1_B_AH0_N|EH1_K_S_AH0_D_AH0_S
カボベルデ	cape|verde	K_EY1_P|V_ER1_D_IY0
キャヴァーン	cavern	K_AE1_V_ER0_N
ドメインネームサーバー	domain|name|server	D_OW0_M_EY1_N|N_EY1_M|S_ER1_V_ER0
トーンホール	tone|hole	T_OW1_N|HH_OW1_L
ビタミン	vitamin	V_AY1_T_AH0_M_AH0_N
ポリッジ	porridge	P_AO1_R_AH0_JH
センシュアル	sensual	S_EH1_N_SH_AH0_W_AH0_L
ウォッシュレット	wash|toilet	W_AA1_SH|T_OY1_L_AH0_T
コロキュアル	colloquial	K_AH0_L_OW1_K_W_IY0_AH0_L
ポップジャズ	pop|jazz	P_AA1_P|JH_AE1_Z
ホワイトライン	white|line	W_AY1_T|L_AY1_N
キャッチフォン	catch|phone	K_AE1_CH|F_OW1_N
ゴールドディスク	gold|disc	G_OW1_L_D|D_IH1_S_K
アイゼン	eisen	AY1_S_AH0_N
ブルック	brook	B_R_UH1_K
バングラデシュ	bangladesh	B_AE1_NG_L_AH0_D_EH2_SH
コアビジネス	core|business	K_AO1_R|B_IH1_Z_N_AH0_S
サードウェーブコーヒー	third|wave|coffee	TH_ER1_D|W_EY1_V|K_AA1_F_IY0
アキシアルジェット	axial|jet	AE1_K_S_IY0_AH0_L|JH_EH1_T
ディスカレッジ	discourage	D_IH0_S_K_ER1_IH0_JH
ナチュラルグリップ	natural|grip	N_AE1_CH_ER0_AH0_L|G_R_IH1_P
ネイルサロン	nail|salon	N_EY1_L|S_AH0_L_AA1_N
マイナンバー	my|number	M_AY1|N_AH1_M_B_ER0
ポストモダニズム	postmodernism	P_OW2_S_T_M_AA1_D_ER0_N_IH2_Z_M
ポークカツ	pork|cut	P_AO1_R_K|K_AH1_T
ブラック	black	B_L_AE1_K
インジゴブルー	indigo|blue	IH1_N_D_AH0_G_OW2|B_L_UW1
アンビリーバボー	unbelievable	AH2_N_B_AH0_L_IY1_V_AH0_B_AH0_L
パワー	power	P_AW1_ER0
ポーラーフロント	polar|front	P_OW1_L_ER0|F_R_AH1_N_T
エアポケット	air|pocket	EH1_R|P_AA1_K_AH0_T
ハズバンドハント	husband|hunt	HH_AH1_Z_B_AH0_N_D|HH_AH1_N_T
ステレオカメラ	stereo|camera	S_T_EH1_R_IY0_OW2|K_AE1_M_ER0_AH0
グリークラブ	glee|club	G_L_IY1|K_L_AH1_B
ブラックマーケット	black|market	B_L_AE1_K|M_AA1_R_K_AH0_T
ホワイド	white	W_AY1_T
フィット	fit	F_IH1_T
アイオワ	iowa	AY1_AH0_W_AH0
キャノーラ	canola	K_AH0_N_OW1_L_AH0
フランジ	flange	F_L_AE1_N_JH
ハートブレーク	heartbreak	HH_AA1_R_T_B_R_EY2_K
エナメルドグラス	enameled|glass	IH0_N_AE1_M_AH0_L_D|G_L_AE1_S
ロックファイル	lock|file	L_AA1_K|F_AY1_L
タルト	tarte	T_AA1_R_T
クラブケーキ	crab|cake	K_R_AE1_B|K_EY1_K
スライトハンド	sleight|hand	S_L_AY1_T|HH_AE1_N_D
ナイル	nile	N_AY1_L
ブリックアンドクリック	brick|and|click	B_R_IH1_K|AH0_N_D|K_L_IH1_K
スラッジ	sludge	S_L_AH1_JH
アイモードサービス	i|mode|service	AY1|M_OW1_D|S_ER1_V_AH0_S
ポリメラーゼ	polymerase	P_AA1_L_IH2_M_ER0_EY2_S
アレゴリー	allegory	AE1_L_AH0_G_AO2_R_IY0
サイドライト	side|light	S_AY1_D|L_AY1_T
リュブリャーナ	ljubljana	L_Y_UW1_B_L_Y_AA0_N_AH0
ピリオド	period	P_IH1_R_IY0_AH0_D
ビタースイート	bittersweet	B_IH1_T_ER0_S_W_IY2_T
オールターナティブスクール	alternative|school	AO0_L_T_ER1_N_AH0_T_IH0_V|S_K_UW1_L
カープ	carp	K_AA1_R_P
フローティング	floating	F_L_OW1_T_IH0_NG
マリア	maria	M_ER0_IY1_AH0
オンラインマガジン	online|magazine	AO1_N_L_AY2_N|M_AE1_G_AH0_Z_IY2_N
ターゲットゾーン	target|zone	T_AA1_R_G_AH0_T|Z_OW1_N
ジェットポンプ	jet|pump	JH_EH1_T|P_AH1_M_P
モラリスト	moralist	M_AO1_R_AH0_L_IH0_S_T
インスタンス	instance	IH1_N_S_T_AH0_N_S
ディーゼルカー	diesel|car	D_IY1_S_AH0_L|K_AA1_R
ラバーカップ	rubber|cup	R_AH1_B_ER0|K_AH1_P
トライアングルパス	triangle|pass	T_R_AY1_AE2_NG_G_AH0_L|P_AE1_S
ミニテスト	mini|test	M_IH1_N_IY0|T_EH1_S_T
クリスマスイブ	christmas|eve	K_R_IH1_S_M_AH0_S|IY1_V
プール	pool	P_UW1_L
メット	helmet	HH_EH1_L_M_AH0_T
コーナー	corner	K_AO1_R_N_ER0
トレーナー	trainer	T_R_EY1_N_ER0
オアシス	oasis	OW0_EY1_S_IH0_S
メディアファミリ	media|family	M_IY1_D_IY0_AH0|F_AE1_M_AH0_L_IY0
クラバー	clobber	K_L_AA1_B_ER0
リウォード	reward	R_IH0_W_AO1_R_D
アーカイブス	archives	AA1_R_K_AY2_V_Z
ミニサイズ	mini|size	M_IH1_N_IY0|S_AY1_Z
モデレイト	moderate	M_AA1_D_ER0_AH0_T
ヒント	hint	HH_IH1_N_T
テレビジョンコンティニュイティー	television|continuity	T_EH1_L_AH0_V_IH2_ZH_AH0_N|K_AA2_N_T_AH0_N_UW1_AH0_T_IY0
ドローイングボード	drawing|board	D_R_AO1_IH0_NG|B_AO1_R_D
シャーベット	sherbet	SH_ER1_B_AH0_T
キープレート	key|plate	K_IY1|P_L_EY1_T
アセンブラー	assembler	AH0_S_EH1_M_B_L_ER0
カクテルラウンジ	cocktail|lounge	K_AA1_K_T_EY2_L|L_AW1_N_JH
グアニン	guanine	G_W_AA1_N_IY2_N
ニッカーズ	knickers	N_IH1_K_ER0_Z
エンプティー	empty	EH1_M_P_T_IY0
ポッドキャスト	podcast	P_AO1_D_K_AE2_S_T
ウェブカメラ	web|camera	W_EH1_B|K_AE1_M_ER0_AH0
サーモン	salmon	S_AE1_M_AH0_N
オーバーブッキング	overbooking	OW1_V_ER0_B_UH2_K_IH0_NG
コミュニズム	communism	K_AA1_M_Y_AH0_N_IH2_Z_AH0_M
ウェッブ	web	W_EH1_B
ソーダブレッド	soda|bread	S_OW1_D_AH0|B_R_EH1_D
エンドレステープ	endless|tape	EH1_N_D_L_AH0_S|T_EY1_P
デスポティズム	despotism	D_EH1_S_P_AH0_T_IH2_Z_AH0_M
アイカメラ	eye|camera	AY1|K_AE1_M_ER0_AH0
エレガント	elegant	EH1_L_AH0_G_AH0_N_T
センターフォワード	center|forward	S_EH1_N_T_ER0|F_AO1_R_W_ER0_D
デジュール	de|jure	D_IY1|JH_UH1_R
ミディスカート	midi|skirt	M_IY1_D_IY0|S_K_ER1_T
チョークコイル	choke|coil	CH_OW1_K|K_OY1_L
サザンソウル	southern|soul	S_AH1_DH_ER0_N|S_OW1_L
レボルト	revolt	R_IH0_V_OW1_L_T
トゥルー	TRUE	T_R_UW1
ナフキン	napkin	N_AE1_P_K_IH0_N
コジェネレーション	cogeneration	K_OW1_JH_EH1_N_ER0_EY1_SH_AH0_N
ノースウェスタン	northwestern	N_AO2_R_TH_W_EH1_S_T_ER0_N
ブランクディスク	blank|disk	B_L_AE1_NG_K|D_IH1_S_K
ハンタウイルス	hantavirus	HH_AE1_N_T_AH0_V_AY2_R_AH0_S
チャージャー	charger	CH_AA1_R_JH_ER0
サイリューム	psyllium	S_IH1_L_IY0_AH0_M
ビーボ	vivo	V_IY1_V_OW0
ファイアサラマンダー	fire|salamander	F_AY1_ER0|S_AE2_L_AH0_M_AE1_N_D_ER0
リーベ	liebe	L_IY1_B
クイズラリー	quiz|rally	K_W_IH1_Z|R_AE1_L_IY0
アプリケーションサービスプロバイダ	application|service|provider	AE2_P_L_AH0_K_EY1_SH_AH0_N|S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
ボット	bot	B_AO1_T
エディティング	editing	EH1_D_AH0_T_IH0_NG
サーキットブレーカー	circuit|breaker	S_ER1_K_AH0_T|B_R_EY1_K_ER0
バスローブ	bathrobe	B_AE1_TH_R_OW2_B
ディナースーツ	dinner|suits	D_IH1_N_ER0|S_UW1_T_S
マトン	mutton	M_AH1_T_AH0_N
シングルマッチ	single|match	S_IH1_NG_G_AH0_L|M_AE1_CH
ウッドデッキ	wood|deck	W_UH1_D|D_EH1_K
ヌルフィールド	null|field	N_AH1_L|F_IY1_L_D
メディスン	medicine	M_EH1_D_AH0_S_AH0_N
タイトルマスタ	title|master	T_AY1_T_AH0_L|M_AE1_S_T_ER0
スタンバイ	standby	S_T_AE1_N_D_B_AY1
トランスミッション	transmission	T_R_AE0_N_S_M_IH1_SH_AH0_N
クリスマスイヴ	christmas|eve	K_R_IH1_S_M_AH0_S|IY1_V
タロット	tarot	T_AE2_R_OW1
レザージャケット	leather|jacket	L_EH1_DH_ER0|JH_AE1_K_AH0_T
クロスチェック	cross|check	K_R_AO1_S|CH_EH1_K
ロイヤルティフリー	royalty|free	R_OY1_AH0_L_T_IY0|F_R_IY1
プログラミングシステム	programming|system	P_R_OW1_G_R_AE2_M_IH0_NG|S_IH1_S_T_AH0_M
アウォード	award	AH0_W_AO1_R_D
ジェンダーバイアス	gender|bias	JH_EH1_N_D_ER0|B_AY1_AH0_S
エピトープ	epitope	EH1_P_IH0_T_OW2_P
マイ	my	M_AY1
カウンシル	council	K_AW1_N_S_AH0_L
エンドレスリピート	endless|repeat	EH1_N_D_L_AH0_S|R_IH0_P_IY1_T
ウェファ	wafer	W_EY1_F_ER0
スターラップ	stirrup	S_T_ER1_AH0_P
ハンドシェーク	handshake	HH_AE1_N_D_SH_EY2_K
スノーマン	snowman	S_N_OW1_M_AE2_N
ディナージャケット	dinner|jacket	D_IH1_N_ER0|JH_AE1_K_AH0_T
サキソフォン	saxophone	S_AE1_K_S_AH0_F_OW2_N
シンガー	singer	S_IH1_NG_ER0
アフェリエイト	affiliate	AH0_F_IH1_L_IY0_EY2_T
アシスタントオブジェクト	assistant|object	AH0_S_IH1_S_T_AH0_N_T|AA1_B_JH_EH0_K_T
キャンピングカー	campaign|car	K_AE0_M_P_EY1_N|K_AA1_R
ホットサンドメーカー	hot|sand|maker	HH_AA1_T|S_AE1_N_D|M_EY1_K_ER0
コミューン	commune	K_AA1_M_Y_UW0_N
クッカー	cooker	K_UH1_K_ER0
ガーデン	garden	G_AA1_R_D_AH0_N
ミックスサンド	mix|sand	M_IH1_K_S|S_AE1_N_D
インフィニティー	infinity	IH2_N_F_IH1_N_IH0_T_IY0
アビタ	arbiter	AA1_R_B_IH0_T_ER0
マサチューセッツ	massachusetts	M_AE2_S_AH0_CH_UW1_S_AH0_T_S
センチメーター	centimeter	S_EH1_N_T_AH0_M_IY2_T_ER0
アボリジニー	aborigine	AE2_B_ER0_IH1_JH_AH0_N_IY0
ブライアー	brier	B_R_AY1_ER0
オーバーシューツ	over|shoes	OW1_V_ER0|SH_AH0_Z
タイプライタ	typewriter	T_AY1_P_R_AY2_T_ER0
ジャンプスーツ	jumpsuit	JH_AH1_M_P_S_UW2_T
コルチシン	colchicine	K_AO1_L_CH_AH0_S_IY0_N
コンテンツクラス	contents|class	K_AA1_N_T_EH0_N_T_S|K_L_AE1_S
バッジテスト	badge|test	B_AE1_JH|T_EH1_S_T
プリンシプル	principle	P_R_IH1_N_S_AH0_P_AH0_L
スライドマスタ	slide|master	S_L_AY1_D|M_AE1_S_T_ER0
クラシック	classic	K_L_AE1_S_IH0_K
ポシビリティー	possibility	P_AA2_S_AH0_B_IH1_L_AH0_T_IY2
ナットクラッカー	nutcracker	N_AH1_T_K_R_AE2_K_ER0
パインナッツ	pine|nuts	P_AY1_N|N_AH1_T_S
エンカウンター	encounter	IH0_N_K_AW1_N_T_ER0
レイバー	labor	L_EY1_B_ER0
ラウンダー	rounder	R_AW1_N_D_ER0
グローリア	gloria	G_L_AO1_R_IY0_AH0
シティーポップ	city|pop	S_IH1_T_IY0|P_AA1_P
プレーンオムレツ	plain|omelet	P_L_EY1_N|AA1_M_L_AH0_T
モーメント	moment	M_OW1_M_AH0_N_T
プリントマネージャ	print|manager	P_R_IH1_N_T|M_AE1_N_AH0_JH_ER0
サヌア	sanaa	S_AH0_N_AA1
マテリアル	material	M_AH0_T_IH1_R_IY0_AH0_L
アクティブ	active	AE1_K_T_IH0_V
ホワイトクリスマス	white|christmas	W_AY1_T|K_R_IH1_S_M_AH0_S
エアーコンディショニング	air|conditioning	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_IH0_NG
タンク	tank	T_AE1_NG_K
シャドーピッチング	shadow|pitching	SH_AE1_D_OW2|P_IH1_CH_IH0_NG
オブジェクトブラウザ	object|browser	AA1_B_JH_EH0_K_T|B_R_AW1_Z_ER0
タウンハウス	town|house	T_AW1_N|HH_AW1_S
アウトレット	outlet	AW1_T_L_EH2_T
ラトヴィア	latvia	L_AE1_T_V_IY0_AH0
ロマニ	romani	R_OW0_M_AA1_N_IY0
カスタムメード	custom|made	K_AH1_S_T_AH0_M|M_EY1_D
リムーブ	remove	R_IY0_M_UW1_V
エバキュエーション	evacuation	IH0_V_AE2_K_Y_AH0_W_EY1_SH_AH0_N
パワーシェアリング	power|sharing	P_AW1_ER0|SH_EH1_R_IH0_NG
デーゲーム	day|game	D_EY1|G_EY1_M
プロモ	promo	P_R_OW1_M_OW2
ハイエログリフ	hieroglyph	HH_AY2_R_OW0_G_L_IH1_F
ウインナソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ショックアブソーバー	shock|absorber	SH_AA1_K|AH0_B_Z_AO1_R_B_ER0
トス	toss	T_AO1_S
アンダーグラウンド	underground	AH1_N_D_ER0_G_R_AW2_N_D
ミニマリスト	minimalist	M_IH1_N_AH0_M_AH0_L_IH0_S_T
サポートベクターマシン	support|vector|machine	S_AH0_P_AO1_R_T|V_EH1_K_T_ER0|M_AH0_SH_IY1_N
ベースアドレスレジスタ	base|address|register	B_EY1_S|AE1_D_R_EH2_S|R_EH1_JH_IH0_S_T_ER0
マックスウェル	maxwell	M_AE1_K_S_W_EH2_L
アプローズ	applause	AH0_P_L_AO1_Z
グローバルパワー	global|power	G_L_OW1_B_AH0_L|P_AW1_ER0_Z
ディレギュレーション	deregulation	D_IY0_R_EH2_G_Y_AH0_L_EY1_SH_AH0_N
クールカラー	cool|color	K_UW1_L|K_AH1_L_ER0
アーティチョウク	artichoke	AA1_R_T_IH0_CH_OW2_K
アロマセラピー	aromatherapy	AH0_R_OW2_M_AH0_TH_ER1_AH0_P_IY0
マシンガントーク	machine|gun|talk	M_AH0_SH_IY1_N|G_AH1_N|T_AO1_K
ビューティ	beauty	B_Y_UW1_T_IY0
ハーフマラソン	half|marathon	HH_AE1_F|M_EH1_R_AH0_TH_AA2_N
スタンドイン	stand|in	S_T_AE1_N_D|IH0_N
ブリーダー	breeder	B_R_IY1_D_ER0
クラスタリング	clustering	K_L_AH1_S_T_ER0_IH0_NG
サブレ	sable	S_EY1_B_AH0_L
ショッピングストリート	shopping|street	SH_AA1_P_IH0_NG|S_T_R_IY1_T
バスマット	bath|mat	B_AE1_TH|M_AE1_T
トリマ	trimmer	T_R_IH1_M_ER0
センタリング	centering	S_EH1_N_T_ER0_IH0_NG
ハムストリング	hamstring	HH_AE1_M_S_T_R_IH2_NG
トレードオフ	trade|off	T_R_EY1_D|AO1_F
ニュースサイト	news|site	N_UW1_Z|S_AY1_T
プレスカード	press|card	P_R_EH1_S|K_AA1_R_D
ディバイダー	divider	D_IH0_V_AY1_D_ER0
ボデーアーマー	body|armor	B_AA1_D_IY0|AA1_R_M_ER0
