フルーツサラダ	fruits salad
ツインベッド	twin bed
ガスランプ	gas lamp
アプリケーションプログラム	application program
ジャパンバッシング	japan bashing
ヒートスプレッダ	heat spreader
プロッタフォント	plotter font
ドキュメントィンドウ	document window
プリントプロセッサ	print processor
アイスキューブ	ice cube
ハイシーズン	high season
プッシュカート	push cart
コンベンションセンター	convention center
ショールカラー	shawl collar
ラッピングバス	wrapping bus
リーディングヒッター	leading hitter
モダンックラフト	modern craft
ドライマーティーニ	dry martini
スルーホール	through hole
ドットピッチ	dot pitch
ウェブデザイン	web design
テクニカルポイント	technical point
カートレーン	car train
キャピタルベース	capital base
ニュースクライアント	news client
ノブレスオブリージュ	noblesse oblige
クライアントアクセスポイント	client access point
タイムインテリジェンス	time intelligence
ダウンジャケット	down jacket
エスケープシークェンス	escape sequence
アメリケーヌソース	american sauce
ソシアルワーカー	social worker
レーダーサイト	radar site
ロッククライミング	rock climbing
セーフティードライブ	safety drive
メタルハイドライド	metal hydride
スパゲティーボロネーゼ	spaghetti bolognese
ミルシート	mill sheet
ダブルコース	double course
デシマルタブ	decimal tab
プロットエリア	plot area
スライドショー	slide show
メモリアドレス	memory address
ボデーアーマー	body armor
アウェーゲーム	away game
スローテンポ	slow tempo
アタックパターン	attack pattern
ゲームバランス	game balance
アフタヌーンドレス	afternoon dress
インターネットリレーチャット	internet relay chat
アフィリエートマーケティング	affiliate marketing
シーケンスソフト	sequence soft
ストリートファーニチャー	street furniture
プレスコード	press code
ストリーミングビデオ	streaming video
サイエンスカフェ	science cafe
ミニチュアカー	miniature car
モンローエフェクト	monroe effect
グルーピングエフェクト	grouping effect
スピードガン	speed gun
ドライアイス	dry ice
アーケードゲーム	arcade game
オーバレイアドレッシング	overlay addressing
ドータボード	daughter board
グレープジュース	grape juice
ポーセレンアート	porcelain art
ボリュームセット	volume set
トリオソナタ	trio sonata
ラギッドソール	rugged sole
ツーウエースピーカー	two-way speaker
インフォメーションリテラシー	information literacy
テキストラベル	text label
ヴァージョンアップ	version up
シーアンカー	sea anchor
フォークソング	folk song
スキッドロー	skid row
アコースティックエミッション	acoustic emission
バルブボルト	valve volt
セットポイント	set point
ランニングホーマー	running homer
コールドロード	cold load
ビッグベン	big ben
アクティブパール	active perl
タイムトライアルロードレース	time trial road race
オープンキッチン	open kitchen
スロースターター	slow starter
ポーチドエッグ	poached egg
ダイヤルプラン	dial plan
クローズドモーゲージ	closed mortgage
ラブチェアー	love chair
デッキチェアー	deck chair
ストアドプロシージャ	stored procedure
ライブラリルーチン	library routine
メチレンブルー	methylene blue
パラダイムチェンジ	paradigm change
バスストップ	bus stop
リビングストック	living stock
バイナリフォーマット	binary format
リレーアタック	relay attack
プロシジャコール	procedure call
ダストボックス	dust box
グラスワイン	glass wine
デシマルポイント	decimal point
オーバーコール	over call
インテリジェントターミナル	intelligent terminal
エラーレート	error rate
リアウインドー	rear window
リモートマウント	remote mount
アドレスバス	address bus
ブラケットクリープ	bracket creep
ガスレーザー	gas laser
サイトライセンス	site license
ホモジニアスコンソリデーション	homogeneous consolidation
エロチックコメディ	erotic comedy
メタタグ	meta tag
コマーシャルデザイン	commercial design
メーンタイトル	main title
バックオーダー	back order
チャンスロス	chance loss
クレンジングクリーム	cleansing cream
ピクセルシェーダ	pixel shader
アウトプットポート	output port
マーブルキャット	marble cat
フィールドスタディー	field study
フェザープレーン	feather plane
ドキュメンタリードラマ	documentary drama
カナディアンベーコン	canadian bacon
ミッシュメタル	misch metal
ピーコックブルー	peacock blue
タイムスケジュール	time schedule
セカンドバッテリ	second battery
オーサリングプラットフォーム	authoring platform
ニュージャージー	new jersey
コバルトブルー	cobalt blue
ラブイン	love in
スプリットフィンガーファーストボール	split finger fast ball
スタティックランダムアクセスメモリ	static random access memory
スーパーアロイ	super alloy
ワンチャン	one chance
ビンゴゲーム	bingo game
ディナージャケット	dinner jacket
パーシャルフリージング	partial freezing
テキサスリーガー	texas leaguer
エントリポイント	entry point
ブリーチーズ	brie cheese
ラインセグメント	line segment
スポーツカー	sports car
メールソフトウェア	mail software
ホワイトホール	white hole
レッドテープ	red tape
トロピカルプラント	tropical plant
カードホッパ	card hopper
ステーションブレーク	station break
オパールガラス	opal glass
カセットレコーダー	cassette recorder
ソーシャルサービス	social service
コアシステム	core system
ロストバゲージ	lost baggage
バイアスタイヤ	bias tire
ゴルフカート	golf cart
ファウルスロー	foul throw
フィルムネット	film net
エアライフル	air rifle
テレビジョンスタジオ	television studio
ハングアップ	hang up
ノンインタレース	non interlace
フリーダイアル	free dial
コーナーキューブ	corner cube
シールセット	seal set
オリジナルカロリー	original calory
スプーンレース	spoon race
パイプラインエディタ	pipeline editor
ジュニアスタイル	junior style
グラウンドストローク	ground stroke
ファインセラミックス	fine ceramics
スキンダイバー	skin diver
コールサイン	call sign
インシュリンショック	insulin shock
シェアリングエコノミー	sharing economy
コンチネンタルスタイル	continental style
ジクソーパズル	jigsaw puzzle
サンプルブック	sample book
マルチポスト	multi post
ナロウバンド	narrow band
ファンレター	fan letter
ラージボール	large ball
ヒューマンアセスメント	human assessment
アートギャラリー	art gallery
ティアードスカート	tiered skirt
トラヒックシェイピング	traffic shaping
ケーススタディ	case study
サンタマリア	santa maria
シガレットホールダー	cigarette holder
コミュニティーバス	community bus
ノーコンテスト	no contest
テープカートリッジ	tape cartridge
カウントダウンパーティー	countdown party
ライトノベル	light novel
メンタルテスト	mental test
ソルティドッグ	salty dog
システムエンジニアリング	system engineering
ソフトローン	soft loan
スイミングスクール	swimming school
アニメソング	anime song
モジュラーコーディネーション	modular coordination
ビッグニュース	big news
ジェンダーギャップ	gender gap
ヨットパーカ	yacht parka
ルーティンワーク	routine work
ロードテスト	road test
プルトップ	pull top
ライトショー	light show
ノットイコール	not equal
ソーシャルブレーン	social brain
アフィリエートプログラム	affiliate program
コントラクトブリッジ	contract bridge
オンエア	on air
ディレイライン	delay line
ライフサイズ	life size
ラフプレイ	rough play
カーテンウォール	curtain wall
スチールファイル	steel file
グリーンピース	green peas
クリスマスツリー	christmas tree
ウェブショップ	web shop
バイナリファイル	binary file
コイルスプリング	coil spring
アクションゲーム	action game
ユーザーマニュアル	user manual
アプリケーションプログラムパッケージ	application program package
ストレステスト	stress test
タイムワープ	time warp
ホームリザベーション	home reservation
ウルトラスカジー	ultra scsi
ココナツオイル	coconut oil
ニュータウン	new town
グループホーム	group home
コンピューターセキュリティ	computer security
マイルレース	mile race
バーレーワイン	barley wine
プライスメーカー	price maker
バターナイフ	butter knife
アスファルトフェルト	asphalt felt
オーバーラップウィンドウ	overlap window
メモリマッピング	memory mapping
ロックウール	rock wool
ネットスコア	net score
ソフトコーラル	soft coral
エリアマーケティング	area marketing
セルバス	cell path
カラーチップ	collar tip
ベッドメイキング	bed making
シェアードメモリ	shared memory
スイーツビール	sweets beer
プレーセラピー	play therapy
オープントーナメント	open tournament
モードライン	mode line
ウイルスチェック	virus check
コンピュータソフト	computer soft
マーシャルアーツ	martial arts
センターオブエクセレンス	center of excellence
レプリカセット	replica set
デジタルビデオ	digital video
フォースプレー	force play
ドレンチェリー	drain cherry
モールドカップ	mold cup
トンネルダイオード	tunnel diode
レイバーユニオン	labor union
マネージメントゲーム	management game
テストマッチ	test match
インターネットカジノ	internet casino
サイレントセットアップ	silent setup
ハイメモリエリア	high memory area
コーヒーハウス	coffee house
ホットハッチ	hot hatch
フィルダーチョイス	fielder's choice
アイストング	ice tong
ナチュラルグリップ	natural grip
ディジャブ	deja vu
システムハウス	system house
チャリティーコンサート	charity concert
フリーエージェント	free agent
カッターシューズ	cutter shoes
ネイティブコンパイラ	native compiler
ストックフォト	stock photo
カーカー	caw caw
ジャパニーズレストラン	japanese restaurant
ナウナウイズム	now now ism
インベントリーリセッション	inventory recession
アブダビ	abu dhabi
バーミューダショーツ	bermuda shorts
ドラァグクイーン	drag queen
プログレッシブロック	progressive rock
トップクォーク	top quark
ラスタグラフィックス	raster graphics
ウインザーチェアー	windsor chair
ホットサンド	hot sand
メーンカルチャー	main culture
シミエンジャッカル	simien jackal
オープンプランニング	open planning
レイアップ	lay up
プライベートブランド	private brand
ゲイリブ	gay lib
アウトレットストア	outlet store
バッティングオーダー	batting order
シンボルカラー	symbol color
トップクオーク	top quark
ジブクレーン	jib crane
ユーザーインターフェイス	user interface
サウスダコタ	south dakota
オフィスアワー	office hour
マクシスカート	maxi skirt
パーオン	par on
ラムダロケット	lambda rocket
データベースサーバー	database server
マネキンガール	mannequin girl
ウイングチップ	wing tip
マルチユーザシステム	multiuser system
インサイドアウト	inside out
バードバス	bird bath
アンチアメリカ	anti american
アームバンド	arm band
シングルトラック	single track
フレンチソース	french sauce
ランナーズハイ	runner's high
ラムズイヤー	lamb's ear
サンプルセリングシステム	sample selling system
ピンマイク	pin mic
ミステリーツアー	mystery tour
コーンスープ	corn soup
ソーダファウンテン	soda fountain
ダークサージョン	dark surgeon
ホールフーズ	whole foods
スマートホン	smart phone
バグリスト	bug list
セルビデオ	sale video
クイーンエンゼル	queen angel
グローバルスタンダード	global standard
ミニパトカー	mini pat car
コンポーネントタイプ	component type
ポートルイス	port louis
ターレットトラック	turret truck
ポーラーメソッド	polar method
フラワーデザイン	floral design
リモートアクセスサービス	remote access service
フラットリスト	flat list
システムメンテナンス	system maintenance
アダルトサイト	adult site
ワイヤブラシ	wire brush
ガスパイプライン	gas pipeline
エクステンドメモリプロック	extend memory block
シャンプーハット	shampoo hat
アイキャッチャ	eye catcher
セブンイレブン	seven eleven
ゾーンパンチ	zone punch
ノーバウンド	no bound
コンプレックススクリプト	complex script
ドライカッパー	dry copper
コーンスピーカー	cone speaker
ゾーンディフェンス	zone defense
グラフィックボード	graphic board
コンピューターアート	computer art
フロンティアスピリット	frontier spirit
リードオルガン	reed organ
オードブル	hors d'oeuvre
ユーザアカウント	user account
スプラッタームービー	splatter movie
ディープキス	deep kiss
シーランプリ	sea lamprey
エンドオブファイル	end of file
フリージャーナリスト	free journalist
パイプスチル	pipe still
シングルママ	single mama
アディスアベバ	addis ababa
ブレンドウイスキー	blend whiskey
エンハンスドモード	enhanced mode
フォアグラウンドプログラム	foreground program
ベクタフォント	vector font
ケアレスミス	careless mis
レモンティー	lemon tea
マッチポンプ	match pump
ベークトポテト	baked potato
リップサービス	lip service
プロボクシング	pro boxing
フィッシャーマンズセーター	fisherman's sweater
ナショナルホリデー	national holiday
ホワイトハウス	white house
ミドルマネジメント	middle management
マルチチップ	multi chip
マンションサロン	mansion salon
リスクマネジメント	risk management
ドラフトモード	draft mode
フォールライン	fall line
クリスマスリース	christmas wreath
リバーサルフィルム	reversal film
サンドドラー	sand dollar
ミートパイ	meat pie
サバイバルフーズ	survival foods
チャンピオンベルト	champion belt
タンクローリ	tank lorry
インタレストグループ	interest group
アメリカンラグビー	american rugby
サイクルインスタンス	cycle instance
クラスタアダプタ	cluster adapter
レーザメモリ	laser memory
ウエアインジケーター	wear indicator
ケーキサーバー	cake server
ユーザフレンドリ	user friendly
ファイルキャッシュ	file cache
インテリジェントステーション	intelligent station
フリータイム	free time
ニコチンキャンディー	nicotine candy
メタリックコネクション	metallic connection
ナーサリーテール	nursery tale
バトントワーラー	baton twirler
ショートライナー	short liner
シリコンウェハ	silicon wafer
レンズシャッター	lens shutter
ファーマーズマーケット	farmer's market
ファッションセンス	fashion sense
バスオイル	bath oil
ダッチアングル	dutch angle
カジュアルウエア	casual wear
コーヒーブレイク	coffee break
ロカボ	low carb
プレミアムエコノミー	premium economy
イートンカラー	eton collar
バックアップルート	backup route
サーボブレーキ	servo brake
ハウスビル	house bill
セルポインタ	cell pointer
チョコレートフォンデュ	chocolate fondue
コンテナトラック	container truck
ロードゲーム	road game
ベビーベッド	baby bed
トゥルータイプフォント	true type font
ドーターボード	daughter board
カレントプライス	current price
ニューロコンピューター	neuro computer
ピンポイントランディング	pinpoint landing
メータースタンプ	meter stamp
カラメルソース	caramel sauce
クレジットクランチ	credit crunch
マクロプロセッサ	macro processor
ハブリッドカー	hybrid car
ハイスピード	high speed
エスニッククレンジング	ethnic cleansing
シリカゲル	silica gel
ゲームソフト	game soft
インターネットプロバイダー	internet provider
グリーティングカード	greeting card
ビッグアップル	big apple
サイレントマジョリティー	silent majority
スモークハム	smoke ham
トルクレンチ	torque wrench
ラジオパーソナリティ	radio personality
モラルハザード	moral hazard
サワークリーム	sour cream
ミュージックテープ	music tape
ワーキングホリデー	working holiday
オールウェザー	all weather
ボックスドライバー	box driver
シームレスブラ	seamless bra
テキストイメー	text image
アルコールランプ	alcohol lamp
トラフィックフロー	traffic flow
ハスキーボイス	husky voice
モジュラプログラミング	modular programming
メディアプロセッサ	media processor
エスプレッソマシーン	espresso machine
インストルメンタルロック	instrumental rock
セキュリティプリンシパル	security principal
ファジーコンピューター	fuzzy computer
パレットナイフ	palette knife
ショッピングストリート	shopping street
グレコローマン	greco roman
エロチックプロダクション	erotic production
インテグレーテッドマーケティング	integrated marketing
バイポーラートランジスター	bipolar transistor
ネイティヴスピーカー	native speaker
エイズウイルス	aids virus
クレンジングローション	cleansing lotion
オフザレコード	off the record
パドルテニス	paddle tennis
センターコート	center court
リエンジニアリング	re engineering
バッターインザホール	batter in the hole
スカイグレー	sky gray
ルームクーラー	room cooler
ゴールデンライオンタマリン	golden lion tamarin
コーンベルト	corn belt
クリーンルーム	clean room
リーヒンムイ	li hing mui
メディカルツーリズム	medical tourism
コールドフォルト	cold fault
トーンコントロール	tone control
コルクボード	cork board
モジュラコンパイル	modular compile
マインドマップ	mind map
ネットワークコントローラ	network controller
スープストック	soup stock
ハムスターボール	hamster ball
アーバンデザイン	urban design
アップルジャック	apple jack
オフィシャルゲーム	official game
フィッシュロースター	fish roaster
オフランプ	off ramp
レコードコンサート	record concert
ハードパワー	hard power
オーサリングソフトウェア	authoring software
ニューデリー	new delhi
アイドルタイム	idle time
チェーンレター	chain letter
デザイナーブランド	designer brand
ポリティカルコレクトネス	political correctness
グッドモーニン	good morning
ウォータージェット	water jet
フルーツトマト	fruits tomato
オンデマンド	on demand
ブラックミュージック	black music
メイクラブ	make love
インライン	in line
ネーティヴスピーカー	native speaker
コンピューターアニメ	computer anime
ナショナルリーグ	national league
パトロールカー	patrol car
ネイヴィーブルー	navy blue
スクールフィギュア	school figure
アイキャッチャー	eye catcher
インデックスバッファ	index buffer
トイレットケース	toilet case
デビットカードサービス	debit card service
プラスチックボール	plastic ball
プロピレングリコール	propylene glycol
リベッテッドジョイント	riveted joint
ハンドトス	hand toss
インドアプレイグラウンド	indoor playground
メモリプロテクト	memory protect
ベビーフェース	baby face
パリスグリーン	paris green
アラビアンエンジェルフィッシュ	arabian angelfish
ステルスマーケティング	stealth marketing
サブキャラクター	sub character
マイナンバー	my number
フルハイト	full height
ツイストドリル	twist drill
マルチブート	multi boot
チーズフォンデュー	cheese fondue
ロックビューティー	rock beauty
ドライブマップ	drive map
マタニティーウェア	maternity wear
ジョブタイトル	job title
オートパワーオフ	auto power off
インジュリータイム	injury time
アンガルド	en garde
オンステージ	on stage
キャラクタジェネレータ	character generator
エアータオル	air towel
ローラーコースター	roller coaster
フリーカルチャー	free culture
デュアルシステム	dual system
ネットスケープコミュニケータ	netscape communicator
レベルオフ	level off
オーケストラピット	orchestra pit
ロールプレーイング	role playing
メニューアイテム	menu item
スイートポテト	sweet potato
カバーグラス	cover glass
トレンディドラマ	trendy drama
デスマーチ	death march
エッセンシャルオイル	essential oil
バックライトタイムアウト	backlight time out
ジャクソンマングース	jackson mongoose
エキゾチックアニマル	exotic animal
ファストイーサネット	fast ethernet
フルフットタイプ	full foot type
シスターコンプレックス	sister complex
ナイスガイ	nice guy
テディーベア	teddy bear
フィッシュフィンガー	fish finger
ランダムウオーク	random walk
マタニティーウエア	maternity wear
グラウンドホステス	ground hostess
ソーシャルネットワーキング	social networking
トラヒックバースト	traffic burst
クロスシート	cross seat
ジャッジランプ	judge lamp
ファンシーストア	fancy store
チップショット	chip shot
エランビタール	elan vital
コネクティングロッド	connecting rod
ラグビーリーグ	rugby league
キャビネットモニタリング	cabinet monitoring
クリスチャンサイエンス	christian science
エステティックサロン	esthetic salon
ログブック	log book
ソースプログラム	source program
キータイトル	key title
カスタムメード	custom made
オンラインテスト	online test
メルトスルー	melt through
ホームイン	home in
セミオートマチック	semi automatic
インターバルタイマ	interval timer
ロートアイアン	wrought iron
ネットマスク	net mask
オイルステイン	oil stain
スチューデントアパシー	student apathy
ホワイトメタル	white metal
アナログシンセサイザー	analog synthesizer
ウエディングヴェール	wedding veil
アセットマネージメント	asset management
ドラムバッグ	drum bag
ロータリードライヤ	rotary dryer
チューリップツリー	tulip tree
ボリュームラベル	volume label
ナンバーポータビリティー	number portability
ダンスキャップ	dance cap
ユーザーインターフェース	user interface
リヒタースケール	richter scale
アクションプラン	action plan
キャッシュサービスコーナー	cash service corner
クラフトユニオン	craft union
グラントゥリズモ	gran turismo
ボックビール	bock beer
ビジネススーツ	business suits
エムエスドス	m s dos
トレードユニオン	trade union
クラウンギヤ	crown gear
ビデオディスプレイカード	video display card
ギャゼットバッグ	gadget bag
バルミツバー	bar mitzvah
ダブルスチール	double steal
カスタマエンジニア	customer engineer
ランプステーキ	rump steak
メタボリックシンドローム	metabolic syndrome
スクリーンエディタ	screen editor
カクテルソース	cocktail sauce
マリッジブルー	marriage blue
マーケティングコスト	marketing cost
チリソース	chili sauce
クロテッドクリーム	clotted cream
スキーツアー	ski tour
スタンプハンマー	stamp hammer
ウッドストックフェスティバル	woodstock festival
エナジーセーバ	energy saver
オートストップ	auto stop
インフォメーションサイエンス	information science
バイバイ	bye bye
プレースポット	play spot
トロリーポール	trolley pole
コーラルリング	coral ring
インナーキャビネット	inner cabinet
メジャーリーグ	major league
スターキング	star king
ゲートウェイサービス	gateway service
オンザレコード	on the record
セクシュアルハラスメント	sexual harassment
ジェンダーフリー	gender free
ガスパイプ	gas pipe
アレイプロセッサ	array processor
ホッビングマシン	hobbing machine
コントロールルーム	control room
アルファバージョン	alpha version
ドアビーム	door beam
ピストンリング	piston ring
コモンセンス	common sense
プリンタポート	printer port
コスメチックレンズ	cosmetic lens
キログラムカロリー	kilogram calorie
キネティックアート	kinetic art
デッキチェア	deck chair
アダプトプログラム	adopt program
ユニファイドメッセージング	unified messaging
マクロデータ	macro data
ナチュラルターン	natural turn
ネットワークインターフェイスカード	network interface card
コンバットレーション	combat ration
キャリアガール	career girl
セーリングボート	sailing boat
エージハラスメント	age harassment
コマンドタイムアウト	command timeout
ソーラーパワー	solar power
フラグシーケンス	flag sequence
ミルクコーヒー	milk coffee
スパゲティボロネーゼ	spaghetti bolognese
ビーティングリード	beating reed
オフィスオートメーション	office automation
ハイネック	high neck
チェーンプリンタ	chain printer
ボタンロック	button lock
デュアルスキャンディスプレー	dual scan display
ルートメニュー	route menu
ポールタックス	poll tax
イメージトレーニング	image training
オイルバーナー	oil burner
キャラクターデザイン	character design
ラッキーナンバー	lucky number
ナイスクリーム	nice cream
メインバンク	main bank
セルフイメージ	self image
ループアンテナ	loop antenna
ネームサービス	name service
ビッグバン	big bang
キーケース	key case
ウエストニッパー	waist nipper
サーマルプリンタ	thermal printer
ワンパス	one pass
ミニマリストプログラム	minimalist program
アーバンコンプレックス	urban complex
モデルキッチン	model kitchen
クライムストーリー	crime story
ボジョレーヌーボー	beaujolais nouveau
アクションプログラム	action program
ピロートーク	pillow talk
アクションタイプ	action type
ハードワイヤード	hard wired
ポリティカリーコレクト	politically correct
クイックモーション	quick motion
テキストファイル	text file
ワウフラッター	wow flutter
マスターワークステーション	master workstation
エスニックフード	ethnic food
シューズボックス	shoe box
サウンドカード	sound card
シーシェル	c shell
アームロック	arm lock
チャイルドアビューズ	child abuse
ウェブブラウザー	web browser
リモートエコー	remote echo
チョコレートケーキ	chocolate cake
スパムメール	spam mail
タイムリーヒット	timely hit
アメリカアリゲーター	america alligator
レアチーズケーキ	rare cheesecake
コミックバンド	comic band
バセットハウンド	basset hound
システムコンバーター	system converter
デジューレスタンダード	de jure standard
バードウオッチャー	bird watcher
ブラインドサイド	blind side
アプリケーションシステム	application system
オフィスランドスケープ	office landscape
スタンドプレー	stand play
ムービーシーン	movie scene
パタンマッチング	pattern matching
タスクスイッチ	task switch
ノイズリダクション	noise reduction
アークガイド	arc guide
ファッションコーディネーター	fashion coordinator
エンドマーク	end mark
ワーキングディレクトリ	working directory
メインキー	main key
コーポレートカラー	corporate colour
エンパイアデー	empire day
サルファイトパルプ	sulfite pulp
データディクショナリ	data dictionary
プロショップ	pro shop
ショーウィンドウ	show window
プロジェクトチーム	project team
ライトワンス	write once
テストマーケティング	test marketing
キャットニップ	cat nip
ジントニック	gin tonic
ポテトフライ	potato fry
アイスヨット	ice yacht
ジェネティックシステム	genetic system
アウトオブプレー	out of play
ブラウンシュガー	brown sugar
チョコレートパフェ	chocolate parfait
メジャーレーベル	major label
インダストリアルエンジニアリング	industrial engineering
システムズアプローチ	system approach
メモリリーク	memory leak
グリークラブ	glee club
コンポーネントステレオ	component stereo
ビッグチャンス	big chance
ドラマクイーン	drama queen
エージドビーフ	aged beef
アリゲーターガー	alligator gar
タックスフリー	tax free
キングズイングリッシュ	king's english
サマーウール	summer wool
ロングラン	long run
コンテンツクラス	contents class
ミュージカルショー	musical show
エアピストル	air pistol
サイバーセキュリティー	cyber security
バンドエード	band aid
ノーヒント	no hint
プッシュバント	push bunt
クローズドポット	closed pot
スパイクヒール	spike heel
スポットアド	spot ad
コンサートホール	concert hall
ダイレクトプッシュ	direct push
コンピュータウィルス	computer virus
カルチャーギャップ	culture gap
パドドゥ	pas de deux
キャッチアンドリリース	catch and release
ジョリーロジャー	jolly roger
フライングタックル	flying tackle
レイヤードルック	layered look
ダートコース	dirt course
コールドタイプシステム	cold type system
ナイトブラ	night bra
コンテンツライブラリ	contents library
サンドスキー	sand ski
インセストタブー	incest taboo
メチルオレンジ	methyl orange
プロパティキャッシュ	property cache
ファウンドリサービス	foundry service
メリーゴーランド	merry go round
チキンレース	chicken race
ホストバスアダプタ	host bus adapter
ラジオビーコン	radio beacon
コールセットアップ	call setup
ヒューレットパッカード	hewlett packard
ファイアインシュアランス	fire insurance
ビデオレター	video letter
ライブレコード	live record
キャリアコード	carrier code
コンビネーションサラダ	combination salad
メモリカード	memory card
オールドファッションドグラス	old fashioned glass
バックプロパゲーション	back propagation
カテゴリーキラー	category killer
レザーウエア	leather wear
チームプレー	team play
ボディソープ	body soap
トゥルーラブ	true love
ウインターリゾート	winter resort
エアシャトル	air shuttle
ノンアイロンシャツ	non iron shirts
パイロットランプ	pilot lamp
ハイレゾリューションモード	high resolution mode
アイパック	eye pack
マネーハンドリング	money handling
プライバシーセパレータ	privacy separator
ダイヤルアウト	dial out
グレイビーソース	gravy sauce
ミュージックボックス	music box
アキシアルジェット	axial jet
ラストラン	last run
プロファイルエディタ	profile editor
エアロビックフィットネス	aerobic fitness
フェアプレー	fair play
フィールドノート	field note
バタフライナイフ	butterfly knife
フルバージョン	full version
マウンテンガゼル	mountain gazelle
レースモニター	lace monitor
コラムシフト	column shift
コントロールアンプ	control amp
ジョイントコンサート	joint concert
ウィンドウマネージャ	window manager
ファンジェット	fan jet
ディスクドライブ	disk drive
パーリピーポー	party people
ファッションマッサージ	fashion massage
ビッグバンド	big band
ズームイン	zoom in
ゴシックロック	gothic rock
ミニセットアップ	mini setup
モーニングシャワー	morning shower
ネットリテラシー	net literacy
デジュールスタンダード	de jure standard
リミットサイクル	limit cycle
フラッシュメモリ	flash memory
サイクルストック	cycle stock
ライムジュース	lime juice
ホームトレーディング	home trading
フラワーガール	flower girl
ダンプリスト	dump list
エルサルバドル	el salvador
ココナッツミルク	coconut milk
ランニングシャツ	running shirts
スキャンエンジン	scan engine
プログラムアナライザー	program analyzer
ビデオポーカー	video poker
グラフィカルユーザーインターフェース	graphical user interface
オーブンミトン	oven mitt
ネットワークマネージャ	network manager
オートライト	auto light
チャイルドロック	child lock
インフォーマルドレス	informal dress
コンビニエンスストア	convenience store
モダンダンス	modern dance
ゴーゴー	go go
オンラインリアルタイムシステム	online real time system
トニックウオーター	tonic water
マルチツール	multi tool
インフォメーションリトリーバル	information retrieval
プライステーカー	price taker
ソフトエラー	soft error
ポイントツーポイントプロトコル	point to point protocol
テレホンクラブ	telephone club
ハウスミュージック	house music
メンバーコード	member code
トランスファープライシング	transfer pricing
フロプティカルディスク	floptical disk
ユーティリティルーチン	utility routine
サイバーショップ	cyber shop
モータードライブ	motor drive
ネーミングライト	naming right
パーソナルファウル	personal foul
オンオフ	on off
ソフトフォーカス	soft focus
マルチパーパスポリシー	multipurpose policy
ラインオフ	line off
パーソントリップ	person trip
トランザム	trans am
ディスコミュージック	disco music
パッチモジュール	patch module
